File,Result,Runtime (s)
interleave_bits.c_3.smt2,UNSOLVED,4.0
interleave_bits.c_4.smt2,UNSOLVED,4.0
jain_5-2.c_0.smt2,UNSOLVED,4.0
jain_7-2.c_3.smt2,UNSOLVED,4.0
nested5-2.c_0.smt2,UNSOLVED,4.0
ps4-ll.c_0.smt2,UNSOLVED,4.0
ps4-ll.c_10.smt2,UNSOLVED,4.0
ps4-ll.c_11.smt2,UNSOLVED,4.0
ps4-ll.c_12.smt2,UNSOLVED,4.0
ps4-ll.c_13.smt2,UNSOLVED,4.0
ps4-ll.c_2.smt2,UNSOLVED,4.0
ps4-ll.c_4.smt2,UNSOLVED,4.0
ps4-ll.c_5.smt2,UNSOLVED,4.0
ps5-ll.c_0.smt2,UNSOLVED,4.0
ps5-ll.c_10.smt2,UNSOLVED,4.0
ps5-ll.c_11.smt2,UNSOLVED,4.0
ps5-ll.c_12.smt2,UNSOLVED,4.0
ps5-ll.c_13.smt2,UNSOLVED,4.0
ps5-ll.c_2.smt2,UNSOLVED,4.0
ps5-ll.c_3.smt2,UNSOLVED,4.0
ps5-ll.c_4.smt2,UNSOLVED,4.0
ps5-ll.c_5.smt2,UNSOLVED,4.0
ps6.c_0.smt2,UNSOLVED,4.0
ps6.c_10.smt2,UNSOLVED,4.0
ps6.c_11.smt2,UNSOLVED,4.0
ps6.c_12.smt2,UNSOLVED,4.0
ps6.c_13.smt2,UNSOLVED,4.0
modInv128.smt2,UNSOLVED,4.0
modInv16.smt2,UNSOLVED,4.0
modInv32.smt2,UNSOLVED,4.0
modInv64.smt2,UNSOLVED,4.0
modInv8.smt2,UNSOLVED,4.0
modInvFull.smt2,UNSOLVED,4.0
modInvInitial.smt2,UNSOLVED,4.0
modInvStep.smt2,UNSOLVED,4.0
modInvStepSimplified.smt2,UNSOLVED,4.0
modInvVar1.smt2,UNSOLVED,4.0
modSimpleTest.smt2,UNSAT,0.1827
sqrtStep1.smt2,UNSOLVED,4.0
sqrtStep1a.smt2,UNSOLVED,4.0
sqrtStep2.smt2,UNSOLVED,4.0
sqrtStep2a.smt2,UNSOLVED,4.0
sqrtStep3.smt2,UNSOLVED,4.0
sqrtStep3a.smt2,UNSOLVED,4.0
sqrtStep4.smt2,UNSOLVED,4.0
sqrtStep4a.smt2,UNSOLVED,4.0
sqrtStep5.smt2,UNSOLVED,4.0
sqrtStep5a.smt2,UNSOLVED,4.0
sqrtStep6.smt2,UNSOLVED,4.0
sqrtStep6a.smt2,UNSOLVED,4.0
sqrtStep7.smt2,UNSOLVED,4.0
sqrtStep7a.smt2,UNSOLVED,4.0
sqrtStepFinal.smt2,UNSOLVED,4.0
sqrtStepFinala.smt2,UNSOLVED,4.0
A_1.smt2,UNSOLVED,1.4942
B_1.smt2,UNSOLVED,4.0
B_2.smt2,UNSOLVED,4.0
C_1.smt2,UNSOLVED,4.0
C_2.smt2,UNSOLVED,4.0
D_1.smt2,UNSOLVED,4.0
D_2.smt2,UNSOLVED,4.0
E_1.smt2,UNSOLVED,4.0
E_2.smt2,UNSOLVED,4.0
aproveSMT1001700549504608195.smt2,UNSOLVED,4.0
aproveSMT1002369120799378097.smt2,SAT,0.0443
aproveSMT1002987040614633432.smt2,SAT,0.0799
aproveSMT1003079011540423379.smt2,SAT,0.1079
aproveSMT1004548876139444098.smt2,SAT,0.0622
aproveSMT100500964594886141.smt2,UNSOLVED,4.0
aproveSMT1006593265001882878.smt2,SAT,0.0487
aproveSMT1007445772889800596.smt2,UNSOLVED,4.0
aproveSMT1008289700543544835.smt2,SAT,0.062
aproveSMT1009548771014223017.smt2,SAT,0.1261
aproveSMT1010832203505577909.smt2,UNSOLVED,4.0
aproveSMT1011702640639437570.smt2,SAT,0.0479
aproveSMT101417910736011502.smt2,UNSAT,1.4677
aproveSMT1016338376657137265.smt2,SAT,0.0411
aproveSMT1017370803858160340.smt2,SAT,0.0596
aproveSMT1017862898884660660.smt2,SAT,0.0775
aproveSMT1021654105853853383.smt2,SAT,0.0558
aproveSMT102176498393626587.smt2,UNSOLVED,4.0
aproveSMT1022543817592849705.smt2,SAT,0.0543
aproveSMT1023437561463628372.smt2,SAT,0.0949
aproveSMT1026916174897974995.smt2,SAT,0.0698
aproveSMT1031134853756247882.smt2,SAT,0.0713
aproveSMT1033597413588659161.smt2,UNSOLVED,4.0
aproveSMT1038244403212994346.smt2,SAT,0.0727
aproveSMT1044364220480225355.smt2,SAT,0.0364
aproveSMT1045293394610378205.smt2,SAT,0.0351
aproveSMT1047107094794491268.smt2,UNSOLVED,4.0
aproveSMT1049786927316670908.smt2,UNSAT,0.9919
aproveSMT1052446639564253740.smt2,SAT,0.0446
aproveSMT1059628807158111792.smt2,UNSAT,3.4809
aproveSMT1061498247469120548.smt2,SAT,0.0459
aproveSMT106352422603502658.smt2,SAT,0.0371
aproveSMT106628954746449373.smt2,UNSAT,0.342
aproveSMT1067132971625049215.smt2,UNSOLVED,4.0
aproveSMT1067631316961394932.smt2,UNSOLVED,4.0
aproveSMT1071993156819731935.smt2,SAT,0.1436
aproveSMT1072646210924280341.smt2,UNSAT,0.2952
aproveSMT1074794681419974085.smt2,UNSOLVED,4.0
aproveSMT1074996860240419241.smt2,UNSOLVED,4.0
aproveSMT1076852626867582761.smt2,SAT,0.2021
aproveSMT1079747557447732919.smt2,SAT,0.0508
aproveSMT1090306236237454748.smt2,SAT,0.0937
aproveSMT1090696552017880877.smt2,UNSOLVED,4.0
aproveSMT1091600435177837637.smt2,UNSOLVED,4.0
aproveSMT1092050415997084290.smt2,UNSOLVED,4.0
aproveSMT109680382490054156.smt2,UNSOLVED,4.0
aproveSMT1097886040970681958.smt2,SAT,0.1181
aproveSMT1100514060021376770.smt2,SAT,2.9573
aproveSMT110406245392905194.smt2,SAT,0.04
aproveSMT1105246329636558105.smt2,UNSAT,0.3736
digital-stopwatch.locals.nosummaries.smt2,UNSOLVED,4.0
digital-stopwatch.locals.smt2,UNSAT,3.5863
4NestedWith3Variables_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
Ackermann01_true-termination.c_Iteration9_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0965
AliasDarteFeautrierGonnord-SAS2010-aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1038
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c_Iteration8_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1374
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c_Iteration9_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1196
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSAT,2.3369
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1096
Benghazi_nondet_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.8733
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0998
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4695
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.5223
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4784
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.2687
ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3462
ChenFlurMukhopadhyay-SAS2012-Ex2.19_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.153
ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.2953
ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.148
ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.0921
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3337
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1031
ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChooseLife_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.1256
Collatz_unknown-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,1.6816
ColonSipma-TACAS2001-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1026
Copenhagen_disj_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.3339
Et1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.5146
Et1_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.5055
Et4_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,SAT,0.1272
Et4_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,SAT,0.1387
Et4_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3977
Et4_true_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3677
Et4_true_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3927
Et4_true_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3922
EvenOdd01_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,-2.8571
GCD4_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.103
Gothenburg_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.1086
Gothenburg_v2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.1202
Hanoi_plus_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSOLVED,4.0
Hanoi_plus_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0735
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration2_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0743
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0827
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4087
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4226
gauss_sum_true-unreach-call.i.smt2,UNSOLVED,4.0
linear_sea.ch_true-unreach-call.i_162.smt2,UNSAT,0.0318
linear_sea.ch_true-unreach-call.i_163.smt2,UNSAT,0.0278
linear_sea.ch_true-unreach-call.i_164.smt2,UNSAT,0.027
linear_sea.ch_true-unreach-call.i_75.smt2,UNSAT,0.0312
linear_sea.ch_true-unreach-call.i_76.smt2,UNSAT,0.0277
linear_sea.ch_true-unreach-call.i_77.smt2,UNSAT,0.0293
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.2905
BradleyMannaSipma-2005CAV-Fig1-alloca_unknown-termination.c.i_Iteration5_Lasso+nonterminationTemplate.smt2,UNSAT,1.5675
BradleyMannaSipma-2005CAV-Fig1-modified-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.3482
BradleyMannaSipma-2005ICALP-Fig1-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.2932
BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,0.6615
ChenFlurMukhopadhyay-2012SAS-Fig1-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,1.1605
CookSeeZuleger-2013TACAS-Fig7a-alloca_true-termination.c.i_Iteration8_Lasso+nonterminationTemplate.smt2,UNSAT,1.5191
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,1.882
HarrisLalNoriRajamani-2010SAS-Fig2-alloca_unknown-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,SAT,0.2527
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.1669
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2,UNSAT,1.3006
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration7_Lasso+nonterminationTemplate.smt2,UNSAT,1.1771
Masse-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.131
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.0861
Urban-2013WST-Fig1-alloca_false-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.0579
Velroyen-alloca_false-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,SAT,0.0743
a.06-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
a.07-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
b.07-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
b.09-no-inv_assume-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.5594
b.13-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
